Tweets,Nelson,Karen,Romain
The law of NATURE? Where there is a need for a FEMALE and a MALE to procreate. That might be why...,1,1,1
This issa lie! Black women don’t cheat.,0,1,1
Suck on this mf,1,1,1
The sooner you realise vagina runs the world the better!!,0,0,1
DAMN U DIDNT HAVE TO BE THAT AGGRESSIVE WHORE,1,1,1
"Stop having side chicks, this creates more problems for you...solve your issues at home",1,1,1
This is why women don’t like #you,0,0,1
"Only a woman that is interested for material things and money says she agrees with her man doing anything he wants. If she loves you, she gonna slap you and broke your head till you make it right!",1,1,1
can’t keep a lil hoe,0,1,1
Better body then most woman on here,1,1,1
One thing bout me we all gon laugh in this bitch🤣,0,0,1
I wish more ladies would be self obsessed! So hard to get people to see the worth in themselves!,0,0,1
Returning bitches to they last owner,1,1,1
You're a little bitch,1,1,1
How many bitches you gone have wearing the same number ?😂,1,1,1
Lmaoooo bitches b moving different,1,0,1
Bitch you raggedy af phony ass hoe,1,1,1
These bitches always putting they 2 cents in on a tweet that they didn’t have to lol,1,1,1
I can’t believe this bitch just did this like a fucking kid 😂😂😂😂😂,1,1,1
"I ACTUALLY HATE YOU! YOU WOMEN ARE LAZY, SELF ABSORBED DISGUSTING PEOPLE. I NEVER CELEBRATE ANYTHING BUT I WILL CELEBRATE THE DAY YOU DIE",0,0,0
"@user
 HACKED BY MC CAVERINHA EZZZ LOL XDDD 🧔🏿🧔🏿🧛🏿‍♀️🧛🏿‍♀️🧛🏿‍♀️🧛🏿‍♀️🧛🏿‍♀️🧜🏿🧜🏿🧜🏿🧜🏿‍♂️🧜🏿‍♂️🧜🏿‍♂️🧜🏿‍♂️🦸🏿‍♀️🦸🏿‍♀️🦸🏿‍♀️",0,0,0
"Keep your right to vote I do not want it, I want the land and resources stolen from our ancestors.",1,0,0
"This is NOT an apology:

“If I made [Prof Whitty] feel uncomfortable, which it does look like I did, then I am sorry to him for that.”",0,0,0
my mom had cut my tie because she said it was too long..i cant even tie it anymore without it looking all weird,0,0,0
Heimlich Maneuver on Yourself When You're Alone and Choking | ProCPR http,0,0,0
"""Wow, what a great presentation Mr Akihiko. Thank you for that. Ladies and gentlemen please let's have another round of applause for our first speaker,"" Aquillon flashed a charming smile at the crowd and clapped along side them. 

""And those prizes sure were worth it,"" he laughs.",0,0,0
